Date,address,daily_trx,trx_fee,hashrate,price,Supply
2012-01-21,954,287,,13020439,,3439949.9999983
2012-01-22,1279,382,,8438740,,3462449.9999983
2012-01-23,1643,478,,13500851,,3474949.9999983
2012-01-24,1449,438,,13043624,,3487449.9999983
2012-01-25,1670,515,,13166697,,3516616.6666649664
2012-01-26,1798,589,,13973613,,3533283.3333316334
2012-01-27,2001,650,,14528314,,3574949.9999983
2012-01-28,2409,794,,17449998,,3624949.9999983
2012-01-29,2415,663,,29775043,,3674949.9999983
2012-01-30,2258,608,,30976513,,3724949.9999983
2012-01-31,1383,448,,31969157,,3762449.9999983
2012-02-01,1862,625,,20967128,,3774949.9999983
2012-02-02,2404,867,,30134826,,3787449.9999983
2012-02-03,2419,928,,35427183,,3824949.9999983
2012-02-04,2668,995,,38699956,,3874949.9999983
2012-02-05,2709,1049,,42483286,,3924949.9999983
2012-02-06,2309,874,,50509558,,3966616.6666649664
2012-02-07,2413,1003,,42598049,,3983283.3333316334
2012-02-08,2453,1037,,44340877,,4016616.6666649664
2012-02-09,2318,935,,43418815,,4033283.3333316334
2012-02-10,2203,824,,40810415,,4074949.9999983
2012-02-11,2238,869,,43975278,,4116616.6666649664
2012-02-12,2248,790,,47022797,,4133283.3333316334
2012-02-13,2075,733,,45891764,,4166616.666664967
2012-02-14,2052,781,,46373862,,4183283.3333316334
2012-02-15,1841,599,,46446878,,4224949.9999983
2012-02-16,2068,768,,45843402,,4266616.666664967
2012-02-17,1991,736,,46687816,,4283283.333331633
2012-02-18,1988,719,,47108696,,4316616.666664967
2012-02-19,2042,774,,50931520,,4333283.333331633
2012-02-20,1980,800,,49305900,,4374949.9999983
2012-02-21,2086,776,,49865981,,4416616.666664967
2012-02-22,1919,704,,50285792,,4433283.333331633
2012-02-23,2436,729,,54428604,,4466616.666664967
2012-02-24,1694,592,,48333993,,4483283.333331633
2012-02-25,1775,495,,44386727,,4516616.666664967
2012-02-26,1656,500,,53738240,,4533283.333331633
2012-02-27,1440,463,,43346767,,4574949.9999983
2012-02-28,1498,487,,38967255,,4612449.9999983
2012-02-29,1479,496,,37179234,,4624949.9999983
2012-03-01,1711,641,,34681400,,4637449.9999983
2012-03-02,2185,856,,44033973,,4674949.9999983
2012-03-03,2295,900,,55549278,,4724949.9999983
2012-03-04,1641,611,,87451931,,4766616.666664967
2012-03-05,1322,414,,63949406,,4783283.333331633
2012-03-06,1447,468,,47175502,,4816616.666664967
2012-03-07,1366,511,,39225094,,4833283.333331633
2012-03-08,1401,473,,33952843,,4862449.9999983
2012-03-09,1546,490,,33449284,,4874949.9999983
2012-03-10,1410,437,,32469795,,4887449.9999983
2012-03-11,1566,519,,32912007,,4916616.666664967
2012-03-12,1540,455,,37320567,,4933283.333331633
2012-03-13,1905,583,,33256023,,4966616.666664967
2012-03-14,2329,748,,45089881,,4983283.333331633
2012-03-15,2838,1031,,42162653,,5024949.9999983
2012-03-16,1662,506,,42391666,,5066616.666664967
2012-03-17,1531,442,,44537912,,5083283.333331633
2012-03-18,1876,585,,43331545,,5124949.9999983
2012-03-19,2179,703,,53341178,,5166616.666664967
2012-03-20,1960,672,,57187320,,5183283.333331633
2012-03-21,2088,708,,56159804,,5224949.9999983
2012-03-22,1739,578,,60393592,,5266616.666664967
2012-03-23,1805,749,,51188915,,5283283.333331633
2012-03-24,1518,516,,51583832,,5316616.666664967
2012-03-25,1491,510,,46835565,,5333283.333331633
2012-03-26,1561,551,,44618021,,5366616.666664967
2012-03-27,1916,642,,49295594,,5383283.333331633
2012-03-28,1723,573,,49969209,,5416616.666664967
2012-03-29,1746,518,,52247390,,5433283.333331633
2012-03-30,1885,545,,54442885,,5474949.9999983
2012-03-31,1661,501,,49110359,,5516616.666664967
2012-04-01,1829,549,,50440865,,5533283.333331633
2012-04-02,1635,503,,50881755,,5566616.666664967
2012-04-03,1507,464,,48080657,,5583283.333331633
2012-04-04,1752,517,,47495430,,5616616.666664967
2012-04-05,1523,496,,43124790,,5633283.333331633
2012-04-06,1684,557,,40532993,,5666616.666664967
2012-04-07,1608,485,,47571590,,5683283.333331633
2012-04-08,1692,546,,49219032,,5724949.9999983
2012-04-09,1662,462,,51204052,,5766616.666664967
2012-04-10,1931,606,,55384967,,5783283.333331633
2012-04-11,1708,562,,47479464,,5816616.666664967
2012-04-12,1797,531,,46798869,,5833283.333331633
2012-04-13,1744,582,,50087940,,5874949.9999983
2012-04-14,1852,519,,49233710,,5916616.666664967
2012-04-15,1545,478,,45579865,,5933283.333331633
2012-04-16,1630,517,,50680127,,5966616.666664967
2012-04-17,1544,522,,47686153,,5983283.333331633
2012-04-18,1626,529,,47007017,,6016616.666664967
2012-04-19,1507,486,,45354465,,6033283.333331633
2012-04-20,1447,443,,43220756,,6066616.666664967
2012-04-21,1378,354,,42083220,,6083283.333331633
2012-04-22,1516,412,,42035907,,6124949.9999983
2012-04-23,1596,464,,42944418,,6166616.666664967
2012-04-24,1657,479,,44434285,,6183283.333331633
2012-04-25,1571,456,,43751456,,6216616.666664967
2012-04-26,1669,490,,33806108,,6233283.333331633
2012-04-27,1450,482,,33271750,,6266616.666664967
2012-04-28,1492,489,,32642276,,6283283.333331633
2012-04-29,1567,491,,34552997,,6316616.666664967
2012-04-30,1992,552,,38102259,,6333283.333331633
2012-05-01,2098,556,,38946047,,6366616.666664967
2012-05-02,2092,554,,41052760,,6383283.333331633
2012-05-03,1684,520,,36197591,,6424949.9999983
2012-05-04,1546,397,,32158865,,6466616.666664967
2012-05-05,1569,414,,28550498,,6483283.333331633
2012-05-06,1451,422,,33458368,,6516616.666664967
2012-05-07,1614,495,,33722511,,6533283.333331633
2012-05-08,1698,508,,35740715,,6566616.666664967
2012-05-09,1737,532,,32563270,,6583283.333331633
2012-05-10,1713,507,,34154401,,6616616.666664967
2012-05-11,1672,521,,33654904,,6633283.333331633
2012-05-12,1540,460,,32868594,,6666616.666664967
2012-05-13,1693,502,,33387008,,6683283.333331633
2012-05-14,1915,548,,34396484,,6724949.9999983
2012-05-15,1764,488,,33287262,,6766616.666664967
2012-05-16,1586,505,,29319211,,6783283.333331633
2012-05-17,1735,600,,29148416,,6816616.666664967
2012-05-18,1611,595,,27040671,,6833283.333331633
2012-05-19,1580,538,,26777859,,6866616.666664967
2012-05-20,1878,657,,27945404,,6883283.333331633
2012-05-21,2021,704,,29754823,,6916616.666664967
2012-05-22,2055,662,,30582011,,6933283.333331633
2012-05-23,1971,686,,33166164,,6974949.9999983
2012-05-24,1920,674,,32861745,,7016616.666664967
2012-05-25,2159,774,,35855277,,7033283.333331633
2012-05-26,1827,640,,36874835,,7074949.9999983
2012-05-27,1765,658,,29809529,,7116616.666664967
2012-05-28,1923,684,,29932179,,7133283.333331633
2012-05-29,1770,683,,30487051,,7166616.666664967
2012-05-30,1848,596,,27710751,,7183283.333331633
2012-05-31,1852,628,,30542450,,7216616.666664967
2012-06-01,1647,434,,28921648,,7233283.333331633
2012-06-02,1909,602,,28530733,,7266616.666664967
2012-06-03,1642,608,,31018407,,7283283.333331633
2012-06-04,1708,547,,28878895,,7316616.666664967
2012-06-05,2104,587,,29535228,,7333283.333331633
2012-06-06,2019,595,,35690247,,7374949.9999983
2012-06-07,1663,519,,31083899,,7416616.666664967
2012-06-08,2022,595,,31197102,,7433283.333331633
2012-06-09,1803,610,,34080994,,7474949.9999983
2012-06-10,1908,584,,33673646,,7516616.666664967
2012-06-11,1819,580,,29226839,,7533283.333331633
2012-06-12,1678,569,,33134748,,7566616.666664967
2012-06-13,2050,631,,33034758,,7583283.333331633
2012-06-14,1775,616,,33323202,,7616616.666664967
2012-06-15,2045,689,,34128575,,7633283.333331633
2012-06-16,1718,551,,35632112,,7674949.9999983
2012-06-17,1656,524,,32314836,,7716616.666664967
2012-06-18,1724,558,,34909085,,7733283.333331633
2012-06-19,1679,565,,31710920,,7766616.666664967
2012-06-20,1709,599,,30577583,,7783283.333331633
2012-06-21,1730,609,,31714361,,7816616.666664967
2012-06-22,2326,728,,35853295,,7833283.333331633
2012-06-23,2354,665,,38664155,,7874949.9999983
2012-06-24,2088,674,,44259164,,7924949.9999983
2012-06-25,2666,753,,52496851,,7966616.666664967
2012-06-26,2195,646,,60432313,,7983283.333331633
2012-06-27,1880,669,,48973713,,8024949.9999983
2012-06-28,2179,668,,57726483,,8066616.666664967
2012-06-29,2087,557,,63910083,,8083283.333331633
2012-06-30,1632,462,,61293210,,8124949.9999983
2012-07-01,2052,638,,57382314,,8166616.666664967
2012-07-02,1940,561,,66334387,,8183283.333331633
2012-07-03,2417,868,,65157589,,8224949.9999983
2012-07-04,2602,883,,73970983,,8266616.666664967
2012-07-05,2279,773,,89572396,,8283283.333331633
2012-07-06,2417,736,,95387606,,8324949.9999983
2012-07-07,2791,913,,119830108,,8374949.999998299
2012-07-08,3698,1191,,148600324,,8424949.9999983
2012-07-09,3692,1151,,214058375,,8474949.9999983
2012-07-10,2527,885,,212678723,,8516616.666664965
2012-07-11,2108,679,,169850166,,8533283.333331633
2012-07-12,1890,638,,164278642,,8566616.666664965
2012-07-13,2072,697,,151443845,,8583283.333331633
