Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Trx/Day
11/4/2015,508.4657,30608,74597178.62500,9392856950587456979,7037
11/5/2015,489.3514,30815,74624470.03125,10593890524409684909,7498
11/6/2015,491.3861,30968,74651892.21875,15936270156556764007,7882
11/7/2015,478.1613,31514,74678607.53125,32079919793349356329,10996
11/8/2015,498.8730,32153,74705896.59375,29526878882442981964,12413
11/9/2015,496.5674,32455,74732956.12500,11263102919443230382,7689
11/10/2015,505.3881,32634,74760400.18750,15351192628299204876,8151
11/11/2015,508.8850,32804,74788226.75000,23076791328155836314,10217
11/12/2015,517.4888,32918,74816251.28125,25889101201769871285,9534
11/13/2015,528.3143,33055,74844436.43750,14583302464865801953,7891
11/14/2015,534.8715,33157,74872794.09375,18534033511704232124,7211
11/15/2015,550.2513,33264,74900914.25000,11483974092635215057,7170
11/16/2015,541.2585,33376,74928309.40625,10269635973055744198,7442
11/17/2015,535.8010,33512,74956103.00000,9596829650575912999,7145
11/18/2015,550.5812,33629,74983355.03125,10321475397415639389,7373
11/19/2015,552.7532,33765,75009918.46875,15863939513515044891,8876
11/20/2015,472.9611,33883,75035048.93750,11986899241936797512,6348
11/21/2015,480.0484,33999,75061831.12500,11244910062602561332,6822
11/22/2015,480.2510,34447,75088819.71875,11241715326286604797,7083
11/23/2015,487.9382,34594,75116092.06250,13316084717852136228,8260
11/24/2015,486.5758,34812,75142940.18750,12966491027158747161,7152
11/25/2015,470.1510,34913,75169412.06250,12459630991672277588,7098
11/26/2015,470.8570,35071,75195950.50000,9307010479992449281,7278
11/27/2015,492.9653,35136,75223837.37500,9399192619419860582,6639
11/28/2015,498.5437,35204,75251045.34375,14567130571469754409,6817
11/29/2015,500.4669,35288,75278393.15625,9090792117113711272,6853
11/30/2015,503.9533,35402,75305749.40625,20815751537737421266,8986
12/1/2015,514.3284,35508,75333292.21875,13074388944575777609,6794
12/3/2015,504.3068,35610,75361355.50000,10666077605006573721,6971
12/2/2015,481.8385,35709,75387362.53125,11438122532174238399,6502
12/4/2015,493.1904,35879,75414041.90625,12372342317467218045,6898
12/5/2015,511.9346,36022,75440623.78125,13084824514839102759,6784
12/6/2015,487.6672,36291,75466879.56250,17147404223188337107,9103
12/7/2015,483.6810,36437,75493598.46875,9642772252255179440,7141
12/8/2015,469.5651,36557,75519910.96875,9146200894289794928,6697
12/9/2015,494.2650,36673,75548235.03125,10136989432654592764,7001
12/10/2015,504.7793,36820,75575712.37500,11340935043430610418,7444
12/11/2015,514.5903,36951,75602735.18750,16852443787757887529,8105
12/12/2015,517.9029,37373,75629941.75000,23123143175929711610,8205
12/13/2015,556.8745,37569,75657849.09375,18732109712665255814,7426
12/14/2015,541.3528,37729,75684557.68750,74652439561455021898,15550
12/15/2015,559.7040,37850,75711572.21875,114407858336816933404,21098
12/16/2015,534.0622,37990,75738029.56250,44216781874774645730,10304
12/17/2015,553.9679,38358,75764912.68750,32401075213208356891,9612
12/18/2015,552.1806,38634,75791584.25000,32181421454696323527,9032
12/19/2015,548.8488,38756,75818278.78125,28516230925703049905,9314
12/20/2015,533.1539,38902,75844714.87500,34427170021645833151,9879
12/21/2015,531.4617,39082,75871172.68750,39119193998361059476,12063
12/22/2015,564.9776,39208,75898547.06250,59162525716954596713,21027
12/23/2015,552.9946,39317,75925946.43750,81425990746295054821,22740
12/24/2015,539.4988,39422,75952633.00000,45754637863071995296,13494
12/25/2015,539.1713,39537,75979436.59375,26594059296531217594,9521
