Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Daily_Trx
2012-01-27,14528314,2001,3574949.9999983,,650
2012-01-28,17449998,2409,3624949.9999983,,794
2012-01-29,29775043,2415,3674949.9999983,,663
2012-01-30,30976513,2258,3724949.9999983,,608
2012-01-31,31969157,1383,3762449.9999983,,448
2012-02-01,20967128,1862,3774949.9999983,,625
2012-02-02,30134826,2404,3787449.9999983,,867
2012-02-03,35427183,2419,3824949.9999983,,928
2012-02-04,38699956,2668,3874949.9999983,,995
2012-02-05,42483286,2709,3924949.9999983,,1049
2012-02-06,50509558,2309,3966616.6666649664,,874
2012-02-07,42598049,2413,3983283.3333316334,,1003
2012-02-08,44340877,2453,4016616.6666649664,,1037
2012-02-09,43418815,2318,4033283.3333316334,,935
2012-02-10,40810415,2203,4074949.9999983,,824
2012-02-11,43975278,2238,4116616.6666649664,,869
2012-02-12,47022797,2248,4133283.3333316334,,790
2012-02-13,45891764,2075,4166616.666664967,,733
2012-02-14,46373862,2052,4183283.3333316334,,781
2012-02-15,46446878,1841,4224949.9999983,,599
2012-02-16,45843402,2068,4266616.666664967,,768
2012-02-17,46687816,1991,4283283.333331633,,736
2012-02-18,47108696,1988,4316616.666664967,,719
2012-02-19,50931520,2042,4333283.333331633,,774
2012-02-20,49305900,1980,4374949.9999983,,800
2012-02-21,49865981,2086,4416616.666664967,,776
2012-02-22,50285792,1919,4433283.333331633,,704
2012-02-23,54428604,2436,4466616.666664967,,729
2012-02-24,48333993,1694,4483283.333331633,,592
2012-02-25,44386727,1775,4516616.666664967,,495
2012-02-26,53738240,1656,4533283.333331633,,500
2012-02-27,43346767,1440,4574949.9999983,,463
2012-02-28,38967255,1498,4612449.9999983,,487
2012-02-29,37179234,1479,4624949.9999983,,496
2012-03-01,34681400,1711,4637449.9999983,,641
2012-03-02,44033973,2185,4674949.9999983,,856
2012-03-03,55549278,2295,4724949.9999983,,900
2012-03-04,87451931,1641,4766616.666664967,,611
2012-03-05,63949406,1322,4783283.333331633,,414
2012-03-06,47175502,1447,4816616.666664967,,468
2012-03-07,39225094,1366,4833283.333331633,,511
2012-03-08,33952843,1401,4862449.9999983,,473
2012-03-09,33449284,1546,4874949.9999983,,490
2012-03-10,32469795,1410,4887449.9999983,,437
2012-03-11,32912007,1566,4916616.666664967,,519
2012-03-12,37320567,1540,4933283.333331633,,455
2012-03-13,33256023,1905,4966616.666664967,,583
2012-03-14,45089881,2329,4983283.333331633,,748
2012-03-15,42162653,2838,5024949.9999983,,1031
2012-03-16,42391666,1662,5066616.666664967,,506
2012-03-17,44537912,1531,5083283.333331633,,442
2012-03-18,43331545,1876,5124949.9999983,,585
2012-03-19,53341178,2179,5166616.666664967,,703
2012-03-20,57187320,1960,5183283.333331633,,672
2012-03-21,56159804,2088,5224949.9999983,,708
2012-03-22,60393592,1739,5266616.666664967,,578
2012-03-23,51188915,1805,5283283.333331633,,749
2012-03-24,51583832,1518,5316616.666664967,,516
